Card #,Type of Card,Card Name,Appearance Rate,Appears in # Decks,0,1,2,3,4
OP07-019,Leader,Jewelry Bonney,100.00%,41,0.00%,100.00%,0.00%,0.00%,0.00%
ST02-007,Character,Jewelry Bonney,100.00%,41,0.00%,0.00%,2.44%,12.20%,85.37%
OP10-032,Character,Tashigi,100.00%,41,0.00%,0.00%,0.00%,2.44%,97.56%
EB01-012,Character,Cavendish,100.00%,41,0.00%,0.00%,0.00%,0.00%,100.00%
OP06-035,Character,Hody Jones,100.00%,41,0.00%,0.00%,0.00%,7.32%,92.68%
OP08-023,Character,Carrot,97.56%,40,2.44%,2.50%,0.00%,7.50%,90.00%
OP07-021,Character,Urouge,95.12%,39,4.88%,0.00%,5.13%,33.33%,61.54%
OP05-037,Event,Because the Side of Justice Will Be Whichever Side Wins!!,95.12%,39,4.88%,38.46%,58.97%,0.00%,2.56%
ST16-004,Character,Shanks,87.80%,36,12.20%,2.78%,22.22%,63.89%,11.11%
OP04-031,Character,Donquixote Doflamingo,85.37%,35,14.63%,0.00%,2.86%,68.57%,28.57%
OP12-118,Character,Jewelry Bonney,85.37%,35,14.63%,11.43%,74.29%,11.43%,2.86%
OP12-030,Character,Dracule Mihawk,80.49%,33,19.51%,3.03%,9.09%,6.06%,81.82%
EB01-015,Character,Scratchmen Apoo,70.73%,29,29.27%,0.00%,31.03%,3.45%,65.52%
ST24-005,Character,X Drake,60.98%,25,39.02%,0.00%,16.00%,16.00%,68.00%
OP12-027,Character,Koushirou,58.54%,24,41.46%,0.00%,12.50%,25.00%,62.50%
OP05-030,Character,Donquixote Rosinante,56.10%,23,43.90%,4.35%,26.09%,13.04%,56.52%
ST24-003,Character,Basil Hawkins,56.10%,23,43.90%,0.00%,26.09%,34.78%,39.13%
OP01-051,Character,Eustass Captain Kid,53.66%,22,46.34%,27.27%,27.27%,36.36%,9.09%
OP01-033,Character,Izou,26.83%,11,73.17%,0.00%,27.27%,27.27%,45.45%
ST24-001,Character,"Capone ""Gang"" Bege",26.83%,11,73.17%,54.55%,45.45%,0.00%,0.00%
ST02-004,Character,Capone Gang Bege,24.39%,10,75.61%,10.00%,40.00%,30.00%,20.00%
OP01-039,Character,Killer,19.51%,8,80.49%,12.50%,62.50%,12.50%,12.50%
ST24-002,Character,Kid & Killer,14.63%,6,85.37%,0.00%,50.00%,16.67%,33.33%
ST02-008,Character,Scratchmen Apoo,12.20%,5,87.80%,0.00%,40.00%,0.00%,60.00%
OP06-118,Character,Roronoa Zoro,12.20%,5,87.80%,20.00%,20.00%,40.00%,20.00%
ST24-004,Character,Law & Bepo,12.20%,5,87.80%,20.00%,20.00%,40.00%,20.00%
OP10-030,Character,Smoker,4.88%,2,95.12%,0.00%,50.00%,50.00%,0.00%
ST02-017,Event,Straw Sword,4.88%,2,95.12%,100.00%,0.00%,0.00%,0.00%
OP12-037,Event,Demon Aura Nine Sword Style Asua Blades Drawn Dead Man's Game,2.44%,1,97.56%,100.00%,0.00%,0.00%,0.00%
OP07-026,Character,Jewelry Bonney,2.44%,1,97.56%,0.00%,0.00%,0.00%,100.00%
OP01-057,Event,Paradise Waterfall,2.44%,1,97.56%,0.00%,0.00%,0.00%,100.00%
PRB02-004,Character,Jewelry Bonney,2.44%,1,97.56%,0.00%,0.00%,100.00%,0.00%
OP01-052,Character,Raizo,2.44%,1,97.56%,0.00%,100.00%,0.00%,0.00%
PRB02-006,Character,Roronoa Zoro,2.44%,1,97.56%,0.00%,0.00%,0.00%,100.00%
