Card #,Type of Card,Card Name,Appearance Rate,Appears in # Decks,0,1,2,3,4
OP07-079,Leader,Rob Lucci,100.00%,23,0.00%,100.00%,0.00%,0.00%,0.00%
OP02-121,Character,Kuzan,100.00%,23,0.00%,0.00%,0.00%,56.52%,43.48%
OP02-096,Character,Kuzan,100.00%,23,0.00%,0.00%,0.00%,26.09%,73.91%
ST08-006,Character,Shirahoshi,100.00%,23,0.00%,69.57%,21.74%,4.35%,4.35%
OP05-081,Character,One-Legged Toy Soldier,100.00%,23,0.00%,0.00%,0.00%,13.04%,86.96%
OP05-088,Character,Mansherry,100.00%,23,0.00%,0.00%,4.35%,34.78%,60.87%
OP05-091,Character,Rebecca,100.00%,23,0.00%,0.00%,0.00%,0.00%,100.00%
EB01-046,Character,Brook,100.00%,23,0.00%,0.00%,0.00%,0.00%,100.00%
OP08-084,Character,Jack,100.00%,23,0.00%,0.00%,0.00%,4.35%,95.65%
OP07-096,Event,Tempest Kick,95.65%,22,4.35%,0.00%,0.00%,4.55%,95.45%
OP05-093,Character,Rob Lucci,95.65%,22,4.35%,0.00%,0.00%,45.45%,54.55%
OP04-089,Character,Bartolomeo,91.30%,21,8.70%,0.00%,28.57%,38.10%,33.33%
EB01-048,Character,Laboon,91.30%,21,8.70%,4.76%,0.00%,4.76%,90.48%
OP02-106,Character,Tsuru,73.91%,17,26.09%,5.88%,41.18%,11.76%,41.18%
ST06-006,Character,Tashigi,52.17%,12,47.83%,0.00%,33.33%,41.67%,25.00%
OP03-097,Event,Six King Pistol,47.83%,11,52.17%,90.91%,9.09%,0.00%,0.00%
OP05-085,Character,Nefeltari Cobra,43.48%,10,56.52%,0.00%,50.00%,50.00%,0.00%
EB01-049,Character,T-Bone,30.43%,7,69.57%,85.71%,14.29%,0.00%,0.00%
EB01-043,Character,Spandine,13.04%,3,86.96%,100.00%,0.00%,0.00%,0.00%
OP08-091,Character,Who's Who,13.04%,3,86.96%,66.67%,0.00%,33.33%,0.00%
OP12-090,Character,Belo Betty,13.04%,3,86.96%,33.33%,0.00%,0.00%,66.67%
OP04-083,Character,Sabo,13.04%,3,86.96%,66.67%,33.33%,0.00%,0.00%
OP09-097,Event,Black Vortex,13.04%,3,86.96%,66.67%,33.33%,0.00%,0.00%
OP05-094,Event,Haute Couture Patch★Work,8.70%,2,91.30%,0.00%,50.00%,50.00%,0.00%
ST08-002,Character,Uta,8.70%,2,91.30%,0.00%,0.00%,0.00%,100.00%
OP03-081,Character,Kalifa,8.70%,2,91.30%,0.00%,0.00%,0.00%,100.00%
PRB02-014,Character,Saboi,8.70%,2,91.30%,0.00%,50.00%,50.00%,0.00%
OP02-114,Character,Borsalino,4.35%,1,95.65%,0.00%,0.00%,100.00%,0.00%
OP07-084,Character,Gismonda,4.35%,1,95.65%,100.00%,0.00%,0.00%,0.00%
OP02-103,Character,Sengoku,4.35%,1,95.65%,0.00%,0.00%,100.00%,0.00%
OP03-086,Character,Spandam,4.35%,1,95.65%,0.00%,100.00%,0.00%,0.00%
OP07-080,Character,Kaku,4.35%,1,95.65%,0.00%,100.00%,0.00%,0.00%
OP03-080,Character,Kaku,4.35%,1,95.65%,0.00%,100.00%,0.00%,0.00%
OP03-095,Event,Soap Sheep,4.35%,1,95.65%,0.00%,100.00%,0.00%,0.00%
ST06-008,Character,Hina,4.35%,1,95.65%,100.00%,0.00%,0.00%,0.00%
OP06-092,Character,Brook,4.35%,1,95.65%,100.00%,0.00%,0.00%,0.00%
